deliveryDate,hourEnding,repeatedHourFlag,settlementPointName,settlementPointPrice
2025-05-31,6,N,HB_HUBAVG,26.53
2025-05-31,6,N,HB_HOUSTON,25.09
2025-05-31,6,N,HB_BUSAVG,25.6
2025-05-31,5,N,LZ_WEST,46.0
2025-05-31,5,N,LZ_SOUTH,27.88
2025-05-31,5,N,LZ_RAYBN,26.18
2025-05-31,5,N,LZ_NORTH,26.25
2025-05-31,5,N,LZ_LCRA,27.32
2025-05-31,5,N,LZ_HOUSTON,26.81
2025-05-31,5,N,LZ_CPS,27.6
2025-05-31,5,N,LZ_AEN,26.99
2025-05-31,5,N,HB_WEST,32.18
2025-05-31,5,N,HB_SOUTH,27.32
2025-05-31,5,N,HB_PAN,22.72
2025-05-31,5,N,HB_NORTH,26.2
2025-05-31,5,N,HB_HUBAVG,28.12
2025-05-31,5,N,HB_HOUSTON,26.79
2025-05-31,5,N,HB_BUSAVG,27.28
2025-05-31,4,N,LZ_WEST,46.59
2025-05-31,4,N,LZ_SOUTH,29.22
2025-05-31,4,N,LZ_RAYBN,27.27
2025-05-31,4,N,LZ_NORTH,27.36
2025-05-31,4,N,LZ_LCRA,28.68
2025-05-31,4,N,LZ_HOUSTON,28.06
2025-05-31,4,N,LZ_CPS,28.98
2025-05-31,4,N,LZ_AEN,28.31
2025-05-31,4,N,HB_WEST,33.32
2025-05-31,4,N,HB_SOUTH,28.66
2025-05-31,4,N,HB_PAN,23.39
2025-05-31,4,N,HB_NORTH,27.32
2025-05-31,4,N,HB_HUBAVG,29.33
2025-05-31,4,N,HB_HOUSTON,28.03
2025-05-31,4,N,HB_BUSAVG,28.46
2025-05-31,3,N,LZ_WEST,46.4
2025-05-31,3,N,LZ_SOUTH,30.63
2025-05-31,3,N,LZ_RAYBN,28.8
2025-05-31,3,N,LZ_NORTH,28.88
2025-05-31,3,N,LZ_LCRA,30.04
2025-05-31,3,N,LZ_HOUSTON,29.53
2025-05-31,3,N,LZ_CPS,30.36
2025-05-31,3,N,LZ_AEN,29.74
2025-05-31,3,N,HB_WEST,34.27
2025-05-31,3,N,HB_SOUTH,30.07
2025-05-31,3,N,HB_PAN,25.04
2025-05-31,3,N,HB_NORTH,28.85
2025-05-31,3,N,HB_HUBAVG,30.67
2025-05-31,3,N,HB_HOUSTON,29.49
2025-05-31,3,N,HB_BUSAVG,29.89
2025-05-31,2,N,LZ_WEST,48.04
2025-05-31,2,N,LZ_SOUTH,31.86
2025-05-31,2,N,LZ_RAYBN,29.54
